"U:0","U:1","U:2","Points:0","Points:1","Points:2"
1.881e-05,-2.6976e-05,-3.048e-05,9.7498,4.3543,0.065801
5.5507e-05,0.00013452,-3.3286e-05,9.6503,4.3501,0.051358
-1.3372e-05,0.00014098,-1.3576e-05,9.7498,4.4522,0.047594
1.8391e-05,-1.564e-06,-6.1623e-06,9.7479,4.3515,0.15107
-3.1105e-05,0.0001264,3.3033e-05,9.6519,4.2475,0.058024
6.1044e-06,0.0001395,3.3594e-06,9.5515,4.351,0.04044
8.9926e-06,0.00014548,-1.7454e-05,9.6502,4.4511,0.041203
6.9869e-05,0.00016189,-7.0692e-06,9.6456,4.3525,0.14333
-2.1171e-05,0.00017921,-3.1444e-06,9.7501,4.5508,0.044982
-2.4681e-05,0.00015492,-2.0786e-05,9.7473,4.4564,0.13986
2.4961e-05,8.014e-07,-1.529e-05,9.7465,4.3537,0.24876
1.8525e-05,0.00013474,3.3566e-06,9.5539,4.2508,0.040521
-2.4683e-05,0.0001373,1.0873e-05,9.6508,4.2464,0.14902
-1.377e-05,0.0001173,1.2573e-05,9.6542,4.1475,0.05459
-1.6262e-05,0.00014293,2.0135e-06,9.4518,4.3504,0.040022
-1.3012e-05,0.00014777,-9.9899e-06,9.5509,4.4505,0.040185
-6.8865e-06,0.0001424,-8.518e-06,9.5478,4.3543,0.1343
-1.5128e-05,0.00016306,-8.4448e-06,9.6503,4.5505,0.040979
-1.7974e-05,0.00013524,-2.1193e-05,9.6462,4.4551,0.13553
6.9406e-05,0.00015492,-5.6977e-06,9.6412,4.3551,0.24547
-2.2733e-05,0.00020923,6.5822e-07,9.7501,4.6503,0.044281
-3.2886e-05,0.00020336,-2.3387e-05,9.7493,4.5531,0.13712
-2.9406e-05,0.0001535,-1.831e-05,9.7452,4.4619,0.24348
2.4271e-05,1.3444e-06,-2.8459e-06,9.746,4.3542,0.34873
-4.5328e-06,0.00012777,-5.0284e-06,9.4536,4.2503,0.039978
1.4044e-05,0.00015087,-3.4451e-06,9.5526,4.2529,0.1354
1.4156e-05,0.00012551,-9.5137e-08,9.5578,4.15,0.040266
-2.2189e-05,0.00013109,1.5639e-05,9.648,4.2462,0.24851
-1.661e-05,0.0001289,1.1803e-05,9.657,4.1464,0.14846
-2.9894e-06,0.0001015,-2.3071e-07,9.6559,4.0492,0.054831
-2.7936e-05,0.00015309,-1.9144e-07,9.3513,4.3502,0.040002
-3.1489e-05,0.00015992,-3.7804e-06,9.4509,4.4503,0.04003
-4.438e-05,0.00014741,-5.7509e-06,9.4506,4.3517,0.13201
-3.3005e-05,0.00016152,-1.3882e-05,9.5504,4.5503,0.040269
-4.3878e-05,0.00014347,-1.6064e-05,9.5487,4.4528,0.13274
-2.3026e-05,0.00011755,-5.8249e-06,9.5432,4.3577,0.24001
-2.66e-05,0.00018296,-2.9068e-06,9.6501,4.6503,0.040977
-4.7049e-05,0.00016035,-2.1321e-05,9.6489,4.5525,0.13379
-3.5135e-05,0.00011441,-1.5479e-05,9.6421,4.4596,0.24066
6.6291e-05,0.00014674,5.4074e-06,9.6395,4.3557,0.34702
-2.7347e-05,0.00022125,5.1585e-06,9.75,4.7502,0.044088
-3.7349e-05,0.00023488,-1.4373e-05,9.7498,4.6517,0.13599
-3.7824e-05,0.00020519,-2.0629e-05,9.7484,4.5569,0.23967
-3.1399e-05,0.00015458,-5.8522e-06,9.7444,4.4647,0.34562
2.3445e-05,1.157e-06,1.1381e-05,9.7459,4.3542,0.44909
-1.5165e-05,0.00013434,-3.1119e-06,9.3523,4.2501,0.040008
-2.713e-05,0.00014069,-3.1595e-06,9.4532,4.2512,0.13242
8.6769e-07,0.00011954,-3.5934e-06,9.4558,4.1501,0.039902
1.1971e-05,0.00013018,4.4588e-06,9.5483,4.2551,0.24202
1.3916e-05,0.0001472,6.1795e-07,9.5614,4.1502,0.13551
7.7256e-06,0.00011444,-4.6586e-07,9.5606,4.0499,0.040286
-1.9523e-05,0.00012323,1.5827e-05,9.6469,4.2457,0.34888
-1.4813e-05,0.00013508,1.5651e-05,9.6549,4.1461,0.24911
-5.2393e-06,0.00011544,5.5584e-06,9.6604,4.0488,0.14902
-4.8269e-06,8.7312e-05,1.0333e-06,9.6568,3.9498,0.055492
-3.1325e-05,0.00016584,-2.5932e-06,9.2506,4.3501,0.03996
