"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0,0,0,0.17852,0.027483,0.010991
0,0,0,0.27921,0.027483,0.010991
0,0,0,0.3799,0.027483,0.010991
0,0,0,0.48058,0.027483,0.010991
0,0,0,0.58127,0.027483,0.010991
0,0,0,0.68195,0.027483,0.010991
0,0,0,0.78264,0.027483,0.010991
-0.0093101,-0.11006,-0.0017077,0.88332,0.027483,0.010991
-0.039671,-0.075158,-0.0013556,0.98401,0.027483,0.010991
-0.079778,-0.080404,-0.0021076,1.0847,0.027483,0.010991
-0.071852,-0.073721,-0.0022846,1.1854,0.027483,0.010991
-0.073839,-0.086233,-0.0023939,1.2861,0.027483,0.010991
-0.04286,-0.059814,-0.001311,1.3868,0.027483,0.010991
-0.018097,-0.035202,-0.00036738,1.4874,0.027483,0.010991
-0.003072,-0.0098932,0.0050287,1.5881,0.027483,0.010991
0,0,0,1.6888,0.027483,0.010991
0,0,0,1.7895,0.027483,0.010991
0,0,0,1.8902,0.027483,0.010991
0,0,0,1.9909,0.027483,0.010991
0,0,0,2.0916,0.027483,0.010991
0,0,0,2.1922,0.027483,0.010991
0,0,0,2.2929,0.027483,0.010991
0,0,0,2.3936,0.027483,0.010991
0,0,0,2.4943,0.027483,0.010991
0,0,0,2.595,0.027483,0.010991
0,0,0,2.6957,0.027483,0.010991
0,0,0,2.7964,0.027483,0.010991
0,0,0,2.897,0.027483,0.010991
0,0,0,2.9977,0.027483,0.010991
0,0,0,3.0984,0.027483,0.010991
0,0,0,3.1991,0.027483,0.010991
0,0,0,3.2998,0.027483,0.010991
0,0,0,3.4005,0.027483,0.010991
0,0,0,3.5012,0.027483,0.010991
0,0,0,3.6018,0.027483,0.010991
0,0,0,3.7025,0.027483,0.010991
0,0,0,3.8032,0.027483,0.010991
0,0,0,3.9039,0.027483,0.010991
0,0,0,4.0046,0.027483,0.010991
0,0,0,4.1053,0.027483,0.010991
0,0,0,4.206,0.027483,0.010991
0,0,0,4.3066,0.027483,0.010991
0,0,0,4.4073,0.027483,0.010991
0,0,0,4.508,0.027483,0.010991
0,0,0,4.6087,0.027483,0.010991
0,0,0,4.7094,0.027483,0.010991
0,0,0,4.8101,0.027483,0.010991
0,0,0,4.9108,0.027483,0.010991
0,0,0,5.0114,0.027483,0.010991
0,0,0,5.1121,0.027483,0.010991
0,0,0,5.2128,0.027483,0.010991
0,0,0,5.3135,0.027483,0.010991
0,0,0,5.4142,0.027483,0.010991
0,0,0,5.5149,0.027483,0.010991
0,0,0,5.6156,0.027483,0.010991
0,0,0,5.7162,0.027483,0.010991
0,0,0,5.8169,0.027483,0.010991
0,0,0,5.9176,0.027483,0.010991
0,0,0,6.0183,0.027483,0.010991
0,0,0,6.119,0.027483,0.010991
0,0,0,6.2197,0.027483,0.010991
0,0,0,6.3204,0.027483,0.010991
0,0,0,6.421,0.027483,0.010991
0,0,0,6.5217,0.027483,0.010991
0,0,0,6.6224,0.027483,0.010991
0,0,0,6.7231,0.027483,0.010991
0,0,0,6.8238,0.027483,0.010991
0,0,0,6.9245,0.027483,0.010991
0,0,0,7.0252,0.027483,0.010991
0,0,0,7.1258,0.027483,0.010991
0,0,0,7.2265,0.027483,0.010991
0,0,0,7.3272,0.027483,0.010991
0,0,0,7.4279,0.027483,0.010991
0,0,0,7.5286,0.027483,0.010991
0,0,0,7.6293,0.027483,0.010991
0,0,0,7.7299,0.027483,0.010991
0,0,0,7.8306,0.027483,0.010991
0,0,0,7.9313,0.027483,0.010991
0,0,0,8.032,0.027483,0.010991
0,0,0,8.1327,0.027483,0.010991
0,0,0,8.2334,0.027483,0.010991
0,0,0,8.3341,0.027483,0.010991
0,0,0,8.4347,0.027483,0.010991
0,0,0,8.5354,0.027483,0.010991
0,0,0,8.6361,0.027483,0.010991
0,0,0,8.7368,0.027483,0.010991
0,0,0,8.8375,0.027483,0.010991
0,0,0,8.9382,0.027483,0.010991
0,0,0,9.0389,0.027483,0.010991
0,0,0,9.1395,0.027483,0.010991
0,0,0,9.2402,0.027483,0.010991
0,0,0,9.3409,0.027483,0.010991
0,0,0,9.4416,0.027483,0.010991
0,0,0,9.5423,0.027483,0.010991
0,0,0,9.643,0.027483,0.010991
0,0,0,9.7437,0.027483,0.010991
0,0,0,9.8443,0.027483,0.010991
0,0,0,9.945,0.027483,0.010991
0,0,0,0.17852,0.1305,0.010991
0,0,0,0.27921,0.1305,0.010991
0,0,0,0.3799,0.1305,0.010991
0,0,0,0.48058,0.1305,0.010991
0,0,0,0.58127,0.1305,0.010991
0,0,0,0.68195,0.1305,0.010991
0,0,0,0.78264,0.1305,0.010991
-8.2975e-06,-1.9568e-05,-1.176e-06,0.88332,0.1305,0.010991
-1.7892e-05,-1.4478e-05,1.4226e-07,0.98401,0.1305,0.010991
-2.9945e-05,-1.3995e-05,2.8087e-07,1.0847,0.1305,0.010991
-3.4472e-05,-1.7674e-05,-9.8512e-07,1.1854,0.1305,0.010991
-3.3073e-05,-1.8938e-05,-1.2062e-06,1.2861,0.1305,0.010991
-2.671e-05,-1.9986e-05,-1.0873e-06,1.3868,0.1305,0.010991
-1.7237e-05,-1.7691e-05,-5.9808e-07,1.4874,0.1305,0.010991
-6.974e-06,-7.3556e-06,2.5502e-06,1.5881,0.1305,0.010991
0,0,0,1.6888,0.1305,0.010991
0,0,0,1.7895,0.1305,0.010991
0,0,0,1.8902,0.1305,0.010991
0,0,0,1.9909,0.1305,0.010991
0,0,0,2.0916,0.1305,0.010991
0,0,0,2.1922,0.1305,0.010991
0,0,0,2.2929,0.1305,0.010991
0,0,0,2.3936,0.1305,0.010991
0,0,0,2.4943,0.1305,0.010991
0,0,0,2.595,0.1305,0.010991
0,0,0,2.6957,0.1305,0.010991
0,0,0,2.7964,0.1305,0.010991
0,0,0,2.897,0.1305,0.010991
0,0,0,2.9977,0.1305,0.010991
0,0,0,3.0984,0.1305,0.010991
0,0,0,3.1991,0.1305,0.010991
0,0,0,3.2998,0.1305,0.010991
0,0,0,3.4005,0.1305,0.010991
0,0,0,3.5012,0.1305,0.010991
0,0,0,3.6018,0.1305,0.010991
0,0,0,3.7025,0.1305,0.010991
0,0,0,3.8032,0.1305,0.010991
0,0,0,3.9039,0.1305,0.010991
0,0,0,4.0046,0.1305,0.010991
0,0,0,4.1053,0.1305,0.010991
0,0,0,4.206,0.1305,0.010991
0,0,0,4.3066,0.1305,0.010991
0,0,0,4.4073,0.1305,0.010991
0,0,0,4.508,0.1305,0.010991
0,0,0,4.6087,0.1305,0.010991
0,0,0,4.7094,0.1305,0.010991
0,0,0,4.8101,0.1305,0.010991
0,0,0,4.9108,0.1305,0.010991
0,0,0,5.0114,0.1305,0.010991
0,0,0,5.1121,0.1305,0.010991
0,0,0,5.2128,0.1305,0.010991
0,0,0,5.3135,0.1305,0.010991
0,0,0,5.4142,0.1305,0.010991
0,0,0,5.5149,0.1305,0.010991
0,0,0,5.6156,0.1305,0.010991
0,0,0,5.7162,0.1305,0.010991
0,0,0,5.8169,0.1305,0.010991
0,0,0,5.9176,0.1305,0.010991
0,0,0,6.0183,0.1305,0.010991
0,0,0,6.119,0.1305,0.010991
0,0,0,6.2197,0.1305,0.010991
0,0,0,6.3204,0.1305,0.010991
0,0,0,6.421,0.1305,0.010991
0,0,0,6.5217,0.1305,0.010991
0,0,0,6.6224,0.1305,0.010991
0,0,0,6.7231,0.1305,0.010991
0,0,0,6.8238,0.1305,0.010991
0,0,0,6.9245,0.1305,0.010991
0,0,0,7.0252,0.1305,0.010991
0,0,0,7.1258,0.1305,0.010991
0,0,0,7.2265,0.1305,0.010991
0,0,0,7.3272,0.1305,0.010991
0,0,0,7.4279,0.1305,0.010991
0,0,0,7.5286,0.1305,0.010991
0,0,0,7.6293,0.1305,0.010991
0,0,0,7.7299,0.1305,0.010991
0,0,0,7.8306,0.1305,0.010991
0,0,0,7.9313,0.1305,0.010991
0,0,0,8.032,0.1305,0.010991
0,0,0,8.1327,0.1305,0.010991
0,0,0,8.2334,0.1305,0.010991
0,0,0,8.3341,0.1305,0.010991
0,0,0,8.4347,0.1305,0.010991
0,0,0,8.5354,0.1305,0.010991
0,0,0,8.6361,0.1305,0.010991
0,0,0,8.7368,0.1305,0.010991
0,0,0,8.8375,0.1305,0.010991
0,0,0,8.9382,0.1305,0.010991
0,0,0,9.0389,0.1305,0.010991
0,0,0,9.1395,0.1305,0.010991
0,0,0,9.2402,0.1305,0.010991
0,0,0,9.3409,0.1305,0.010991
0,0,0,9.4416,0.1305,0.010991
0,0,0,9.5423,0.1305,0.010991
0,0,0,9.643,0.1305,0.010991
0,0,0,9.7437,0.1305,0.010991
0,0,0,9.8443,0.1305,0.010991
0,0,0,9.945,0.1305,0.010991
1.4435e-05,4.2967e-06,-2.4138e-05,0.17852,0.23353,0.010991
4.4324e-06,3.5577e-06,-3.4617e-07,0.27921,0.23353,0.010991
-1.2997e-06,4.6124e-06,-5.2055e-07,0.3799,0.23353,0.010991
-1.1427e-05,5.3805e-06,-5.1144e-07,0.48058,0.23353,0.010991
-1.9886e-05,6.3039e-06,-1.2528e-06,0.58127,0.23353,0.010991
-2.0273e-05,5.6447e-06,-2.1106e-06,0.68195,0.23353,0.010991
-1.3741e-05,-5.8168e-08,-2.0105e-06,0.78264,0.23353,0.010991
