"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.00016507,-0.00082326,0.00090159,-7.485,-7.8,-0.67854
-0.002923,-0.00072688,0.0010693,-7.4124,-7.8114,-0.69026
-0.0097004,0.0011628,-0.00014127,-7.3091,-7.8119,-0.69126
-0.015955,0.003021,-0.0011534,-7.2051,-7.8124,-0.69167
-0.021578,0.0044862,-0.00077505,-7.1024,-7.8131,-0.69155
-0.022431,0.0060917,0.00072258,-7.0371,-7.8154,-0.6934
-0.020767,0.003899,-0.0033408,-6.9006,-7.8284,-0.70512
-0.020624,0.0037702,-0.0048876,-6.8004,-7.8312,-0.70305
-0.016632,0.0037199,-0.0078559,-6.7004,-7.8331,-0.70053
-0.01194,0.0035132,-0.010034,-6.6423,-7.839,-0.70425
-0.0044336,0.001863,-0.0048379,-6.5268,-7.8118,-0.67611
-0.0019153,0.0006498,0.0021805,-6.2783,-7.8079,-0.67521
-0.0088264,0.0028781,0.0019757,-6.2401,-7.8194,-0.68772
-0.012201,0.0029676,-0.0025641,-6.1063,-7.8308,-0.70079
-0.0087781,0.006141,-0.0062488,-6.005,-7.8287,-0.70349
-0.0077714,0.0069596,-0.0061525,-5.9033,-7.8268,-0.70531
-0.010338,-0.0034457,0.0033934,-5.802,-7.8256,-0.70597
-0.021892,-0.012253,0.0055476,-5.7427,-7.8298,-0.71184
-0.016046,-0.016911,0.0085536,-5.6007,-7.8126,-0.692
-0.001929,-0.022384,0.011457,-5.5003,-7.8126,-0.69217
0.008999,-0.02018,0.012117,-5.4002,-7.8127,-0.69224
0.020234,-0.016386,0.011674,-5.3,-7.8128,-0.69232
0.029049,-0.012383,0.010342,-5.1994,-7.813,-0.69245
0.035221,-0.0084114,0.0084206,-5.0977,-7.8135,-0.69276
0.032807,0.0013894,0.0054923,-4.9948,-7.8147,-0.69366
0.012688,0.0054581,0.00014727,-4.9074,-7.8094,-0.68864
0.026573,-0.010921,-0.048118,-3.3676,-7.811,-0.69099
0.11155,-0.015759,-0.024944,-3.3079,-7.815,-0.68935
0.13773,-0.03174,-0.01511,-3.2424,-7.8177,-0.69065
0.13062,-0.0033623,-0.010317,-3.102,-7.8318,-0.70057
0.10118,0.038541,0.0032656,-3.0424,-7.8374,-0.70447
0.045721,0.040287,0.0057103,-2.9338,-7.8095,-0.67389
0.00064874,3.1945e-05,-0.00027045,-0.99088,-7.8046,-0.68749
0.0013971,-0.00077356,0.00064344,-0.90353,-7.8129,-0.69334
0.0011564,-0.0003958,0.00060663,-0.80183,-7.8128,-0.69267
