"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.0016,-0.00269,0.0032595,-7.485,-7.8,-0.67854
-0.010311,-0.00012017,0.0013618,-7.4124,-7.8114,-0.69026
-0.021172,0.0043218,-0.00311,-7.3091,-7.8119,-0.69126
-0.024413,0.0073146,-0.0062564,-7.2051,-7.8124,-0.69167
-0.026076,0.0097143,-0.0075094,-7.1024,-7.8131,-0.69155
-0.022128,0.012352,-0.006568,-7.0371,-7.8154,-0.6934
-0.011567,0.0091259,-0.012845,-6.9006,-7.8284,-0.70512
-0.0030553,0.0072077,-0.011896,-6.8004,-7.8312,-0.70305
0.0071667,0.0043242,-0.0063693,-6.7004,-7.8331,-0.70053
0.017142,0.0031449,0.0026298,-6.6423,-7.839,-0.70425
0.0065121,-0.00099339,0.0049613,-6.5268,-7.8118,-0.67611
-0.03981,0.013098,0.02497,-6.2783,-7.8079,-0.67521
-0.079356,-0.0087224,0.036045,-6.2401,-7.8194,-0.68772
-0.11257,-0.037233,0.031546,-6.1063,-7.8308,-0.70079
-0.12878,-0.046008,0.028824,-6.005,-7.8287,-0.70349
-0.13114,-0.054823,0.02988,-5.9033,-7.8268,-0.70531
-0.10496,-0.072929,0.032176,-5.802,-7.8256,-0.70597
-0.0763,-0.083529,0.033511,-5.7427,-7.8298,-0.71184
-0.032709,-0.067628,0.045094,-5.6007,-7.8126,-0.692
0.01735,-0.056941,0.041899,-5.5003,-7.8126,-0.69217
0.048105,-0.045154,0.037094,-5.4002,-7.8127,-0.69224
0.068098,-0.038589,0.032152,-5.3,-7.8128,-0.69232
0.084768,-0.031132,0.026613,-5.1994,-7.813,-0.69245
0.091475,-0.024462,0.021369,-5.0977,-7.8135,-0.69276
0.086893,-0.0057588,0.017663,-4.9948,-7.8147,-0.69366
0.043499,0.014219,0.0064569,-4.9074,-7.8094,-0.68864
-0.11727,0.071705,-0.03951,-3.3676,-7.811,-0.69099
-0.11641,0.0052349,-0.013956,-3.3079,-7.815,-0.68935
0.0070712,-0.073377,0.026391,-3.2424,-7.8177,-0.69065
0.084872,-0.051763,0.02791,-3.102,-7.8318,-0.70057
0.15495,0.0066091,0.051383,-3.0424,-7.8374,-0.70447
0.082864,0.052129,0.03679,-2.9338,-7.8095,-0.67389
-0.045279,0.0075512,0.013987,-0.99088,-7.8046,-0.68749
-0.056052,-0.019191,0.021319,-0.90353,-7.8129,-0.69334
-0.039718,-0.032152,0.02447,-0.80183,-7.8128,-0.69267
-0.018014,-0.035599,0.026913,-0.70089,-7.8129,-0.6924
0.0033469,-0.035279,0.026595,-0.60084,-7.8131,-0.69217
0.021524,-0.031397,0.024421,-0.50156,-7.8136,-0.69195
0.032284,-0.015547,0.018684,-0.40432,-7.8143,-0.69167
0.01968,0.0097473,0.011655,-0.33654,-7.8059,-0.68154
-0.0090699,-0.0027014,0.0057891,-7.4931,-7.7243,-0.68682
-0.018693,0.0023313,0.00097399,-7.4133,-7.7261,-0.70811
-0.024757,0.0078515,-0.0038686,-7.3096,-7.7269,-0.70849
-0.026846,0.012485,-0.0065579,-7.2056,-7.7282,-0.7085
-0.026868,0.015787,-0.0078892,-7.1027,-7.7296,-0.70842
-0.023388,0.01834,-0.0087569,-7.0011,-7.7311,-0.70822
-0.014292,0.0154,-0.012826,-6.9001,-7.7328,-0.70793
-0.0053307,0.011828,-0.012579,-6.7993,-7.7345,-0.70765
0.0039284,0.0058512,-0.0095026,-6.6975,-7.7355,-0.70756
0.011759,-0.0032259,0.0011659,-6.5911,-7.7323,-0.70435
0.0073507,-0.0051498,0.0066541,-6.5163,-7.777,-0.68746
0.00056061,0.043467,0.028659,-6.2837,-7.7579,-0.67671
-0.022059,0.038525,0.038397,-6.2178,-7.7473,-0.68883
-0.011058,0.027219,0.014121,-6.1194,-7.7717,-0.71346
-0.055425,-0.014164,0.00067449,-6.0171,-7.7212,-0.7077
-0.078715,-0.055674,-0.00050936,-5.9088,-7.7273,-0.7087
-0.077251,-0.094211,0.0043103,-5.8054,-7.7282,-0.70854
-0.061788,-0.1247,0.01322,-5.7032,-7.7285,-0.70855
-0.037738,-0.13067,0.021777,-5.6017,-7.7288,-0.70861
-0.0030572,-0.11413,0.024044,-5.5008,-7.7291,-0.70865
0.019186,-0.093823,0.023282,-5.4003,-7.7293,-0.70869
0.03767,-0.083537,0.021291,-5.2998,-7.7296,-0.70873
0.054791,-0.06816,0.018629,-5.1987,-7.7299,-0.70884
0.062638,-0.047135,0.016165,-5.096,-7.7305,-0.70927
0.058541,-0.0061265,0.023676,-4.99,-7.7319,-0.71087
0.035401,0.039429,0.015348,-4.8907,-7.7343,-0.69829
-0.10307,0.11245,-0.014197,-3.4106,-7.7307,-0.70633
-0.090328,0.011624,0.0048789,-3.3091,-7.7324,-0.70857
0.024256,-0.19782,0.012612,-3.2037,-7.7335,-0.70771
0.056172,-0.13279,0.016271,-3.0986,-7.7338,-0.70748
0.077965,0.073297,0.053827,-2.9891,-7.7301,-0.70533
0.022388,0.15942,0.051697,-2.9242,-7.7744,-0.68547
-0.042163,0.023743,0.012238,-1.0076,-7.7668,-0.69875
-0.034048,-0.02998,0.010363,-0.90531,-7.7298,-0.70985
-0.026706,-0.059871,0.011078,-0.80213,-7.7295,-0.70897
-0.012457,-0.070002,0.015368,-0.70109,-7.7297,-0.70874
0.00027524,-0.068872,0.016629,-0.60108,-7.7301,-0.70868
