"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.015317,-0.0011114,0.013796,-7.485,-7.8,-0.67854
-0.032497,-0.022637,0.016248,-7.4124,-7.8114,-0.69026
-0.022886,-0.039552,0.018252,-7.3091,-7.8119,-0.69126
-0.0027358,-0.047279,0.020786,-7.2051,-7.8124,-0.69167
0.022496,-0.03409,0.020002,-7.1024,-7.8131,-0.69155
0.027212,-0.030432,0.01638,-7.0371,-7.8154,-0.6934
0.025998,-0.019936,0.017542,-6.9006,-7.8284,-0.70512
0.022642,-0.009832,0.018707,-6.8004,-7.8312,-0.70305
0.010747,-0.0044818,0.017115,-6.7004,-7.8331,-0.70053
0.0038721,-0.0070356,0.017941,-6.6423,-7.839,-0.70425
0.0018767,-0.0090213,0.011512,-6.5268,-7.8118,-0.67611
-0.025302,0.0079719,0.017645,-6.2783,-7.8079,-0.67521
-0.054207,-0.0012392,0.031986,-6.2401,-7.8194,-0.68772
-0.071507,-0.015211,0.02936,-6.1063,-7.8308,-0.70079
-0.089093,-0.023641,0.028099,-6.005,-7.8287,-0.70349
-0.095101,-0.031926,0.026679,-5.9033,-7.8268,-0.70531
-0.089586,-0.039452,0.02377,-5.802,-7.8256,-0.70597
-0.1008,-0.046418,0.019893,-5.7427,-7.8298,-0.71184
-0.11428,-0.033833,0.032694,-5.6007,-7.8126,-0.692
-0.10658,-0.038405,0.036794,-5.5003,-7.8126,-0.69217
-0.10161,-0.042465,0.039828,-5.4002,-7.8127,-0.69224
-0.090802,-0.048801,0.042702,-5.3,-7.8128,-0.69232
-0.075717,-0.054826,0.044647,-5.1994,-7.813,-0.69245
-0.051972,-0.061205,0.04532,-5.0977,-7.8135,-0.69276
-0.022275,-0.064497,0.042112,-4.9948,-7.8147,-0.69366
-0.0054953,-0.03057,0.033974,-4.9074,-7.8094,-0.68864
0.0041043,-0.0099685,0.02592,-3.3676,-7.811,-0.69099
0.012703,-0.026402,0.027133,-3.3079,-7.815,-0.68935
0.01348,-0.029415,0.024025,-3.2424,-7.8177,-0.69065
0.01546,-0.023949,0.026504,-3.102,-7.8318,-0.70057
0.018932,-0.011298,0.025131,-3.0424,-7.8374,-0.70447
0.0084063,0.00085797,0.0087049,-2.9338,-7.8095,-0.67389
0.00036251,-0.00027887,4.0265e-05,-0.99088,-7.8046,-0.68749
0.00078804,-0.000565,0.0004896,-0.90353,-7.8129,-0.69334
0.00063978,-0.00035229,0.0003886,-0.80183,-7.8128,-0.69267
0.00043644,-0.0002467,0.00032296,-0.70089,-7.8129,-0.6924
0.00017804,-0.0002537,0.00033525,-0.60084,-7.8131,-0.69217
-8.3313e-05,-0.00034409,0.0003993,-0.50156,-7.8136,-0.69195
-0.00027988,-0.00043973,0.00040535,-0.40432,-7.8143,-0.69167
-8.3975e-05,-4.9211e-05,-4.8048e-05,-0.33654,-7.8059,-0.68154
-0.014353,0.0011581,0.0094994,-7.4931,-7.7243,-0.68682
-0.025081,-0.027538,0.0014748,-7.4133,-7.7261,-0.70811
-0.020048,-0.061002,-0.00041754,-7.3096,-7.7269,-0.70849
-0.0055849,-0.079156,0.0028518,-7.2056,-7.7282,-0.7085
0.017892,-0.059631,0.0053479,-7.1027,-7.7296,-0.70842
0.026136,-0.04829,0.0069217,-7.0011,-7.7311,-0.70822
0.028832,-0.036061,0.010341,-6.9001,-7.7328,-0.70793
0.027518,-0.026518,0.013843,-6.7993,-7.7345,-0.70765
0.025134,-0.026104,0.015787,-6.6975,-7.7355,-0.70756
0.024903,-0.023613,0.014492,-6.5911,-7.7323,-0.70435
0.012873,-0.018447,0.01524,-6.5163,-7.777,-0.68746
-0.00037661,0.016502,0.012059,-6.2837,-7.7579,-0.67671
-0.015011,0.0085912,0.021583,-6.2178,-7.7473,-0.68883
-0.055208,-0.023337,0.026063,-6.1194,-7.7717,-0.71346
-0.072484,-0.033744,0.019111,-6.0171,-7.7212,-0.7077
-0.096053,-0.045518,0.019409,-5.9088,-7.7273,-0.7087
-0.10196,-0.070236,0.020792,-5.8054,-7.7282,-0.70854
-0.10008,-0.07482,0.022249,-5.7032,-7.7285,-0.70855
-0.10331,-0.069633,0.025387,-5.6017,-7.7288,-0.70861
-0.10258,-0.077044,0.025763,-5.5008,-7.7291,-0.70865
-0.099137,-0.085098,0.02567,-5.4003,-7.7293,-0.70869
-0.091458,-0.095499,0.024872,-5.2998,-7.7296,-0.70873
-0.079538,-0.10604,0.023582,-5.1987,-7.7299,-0.70884
-0.061173,-0.11646,0.02126,-5.096,-7.7305,-0.70927
-0.03149,-0.12342,0.017143,-4.99,-7.7319,-0.71087
-0.016659,-0.10844,0.017301,-4.8907,-7.7343,-0.69829
-0.0040465,-0.039436,0.018416,-3.4106,-7.7307,-0.70633
0.0096881,-0.055377,0.011701,-3.3091,-7.7324,-0.70857
0.017133,-0.056727,0.010887,-3.2037,-7.7335,-0.70771
0.020211,-0.05263,0.013851,-3.0986,-7.7338,-0.70748
0.01454,-0.019442,0.01288,-2.9891,-7.7301,-0.70533
0.0030487,-0.0038173,0.014664,-2.9242,-7.7744,-0.68547
0.0015074,-0.0018556,0.00065486,-1.0076,-7.7668,-0.69875
0.00086543,-0.0012824,0.00092846,-0.90531,-7.7298,-0.70985
0.00059125,-0.00090969,0.00087908,-0.80213,-7.7295,-0.70897
0.0003513,-0.00075012,0.00082828,-0.70109,-7.7297,-0.70874
0.00013989,-0.00075825,0.00083486,-0.60108,-7.7301,-0.70868
-7.5604e-05,-0.00091586,0.00087958,-0.50171,-7.7307,-0.70875
-0.00026218,-0.0011297,0.00085507,-0.40365,-7.7317,-0.70908
-0.00028842,-0.00086547,0.00027313,-0.32452,-7.7321,-0.69067
-0.011285,0.011138,0.0020072,-7.4936,-7.6243,-0.6867
-0.017514,-0.027101,-0.0085844,-7.4139,-7.6214,-0.70829
-0.018604,-0.072963,-0.013911,-7.3104,-7.6228,-0.70819
-0.0098531,-0.10272,-0.0088285,-7.2065,-7.6258,-0.70772
0.015357,-0.079279,-0.0062315,-7.1034,-7.6283,-0.70752
0.027067,-0.063862,-0.001979,-7.0013,-7.63,-0.70736
0.033115,-0.053684,0.0025084,-6.8998,-7.6314,-0.70726
0.035016,-0.047954,0.0058601,-6.7986,-7.6323,-0.70723
0.037789,-0.050383,0.0076681,-6.6971,-7.6325,-0.70711
0.037127,-0.044487,0.0070155,-6.5988,-7.6703,-0.70843
-0.049901,-0.031613,0.0034231,-6.0306,-7.6558,-0.71312
-0.0705,-0.03868,-0.0040597,-5.918,-7.6197,-0.70666
-0.10278,-0.099574,0.0037075,-5.8099,-7.6248,-0.7079
-0.098378,-0.10716,0.012151,-5.7063,-7.6259,-0.70778
-0.10026,-0.10283,0.013285,-5.6034,-7.6275,-0.70767
-0.098627,-0.11044,0.011039,-5.5016,-7.6285,-0.70759
-0.096566,-0.11958,0.0089608,-5.4005,-7.629,-0.70761
-0.090417,-0.13152,0.0062125,-5.2996,-7.6294,-0.70765
-0.080092,-0.14399,0.0032847,-5.198,-7.6297,-0.70778
-0.064225,-0.15612,-9.2788e-05,-5.0945,-7.6301,-0.70829
-0.037683,-0.1669,-0.0047189,-4.9876,-7.6307,-0.71009
-0.022267,-0.16794,-0.0043563,-4.8887,-7.6316,-0.6972
-0.012536,-0.080851,0.0010592,-3.4208,-7.6725,-0.71312
0.0024364,-0.078312,-0.00702,-3.3095,-7.6313,-0.7086
0.017316,-0.077286,-0.0027666,-3.2023,-7.6318,-0.70758
0.024533,-0.075198,0.0017408,-3.0967,-7.6313,-0.70755
0.021374,-0.067799,0.0085608,-2.9947,-7.6683,-0.71073
-1.1412e-06,-4.1433e-07,7.8613e-07,-1.7782,-7.6029,-0.68726
3.8527e-05,-2.1846e-05,1.1121e-05,-1.7051,-7.6135,-0.69291
0.00018862,-2.95e-05,2.2602e-05,-1.6048,-7.6136,-0.69213
0.00042135,-2.7208e-05,-1.2112e-05,-1.503,-7.6134,-0.69188
0.00088735,-6.6863e-05,-8.717e-05,-1.4025,-7.6131,-0.69157
0.0014955,-0.00040594,-0.00031321,-1.3386,-7.6146,-0.69348
0.0023968,-0.00069697,-0.00012762,-1.2062,-7.6246,-0.70594
0.0027547,-0.001436,0.00040424,-1.1134,-7.6319,-0.70662
0.0019776,-0.0020208,0.00078283,-1.0119,-7.6344,-0.70807
0.00096001,-0.0016752,0.00084649,-0.90391,-7.6294,-0.70829
0.00057206,-0.0014833,0.0008035,-0.80193,-7.6292,-0.70773
0.00030995,-0.001402,0.00078088,-0.70126,-7.6295,-0.7076
9.6686e-05,-0.0014496,0.00079542,-0.60137,-7.6299,-0.70762
-0.00011129,-0.0016569,0.00083715,-0.50202,-7.6304,-0.70784
-0.00029239,-0.0020347,0.00082592,-0.40356,-7.6312,-0.70853
-0.0002973,-0.0022814,0.00022418,-0.31976,-7.632,-0.6911
-0.0033002,0.011786,2.9836e-05,-7.4891,-7.5376,-0.68044
0.028213,0.032292,0.00017226,-7.4172,-7.5218,-0.69273
-0.017176,-0.078081,-0.017884,-7.3188,-7.5599,-0.71354
-0.014766,-0.11817,-0.013115,-7.2125,-7.5172,-0.70597
0.011305,-0.089552,-0.012053,-7.1044,-7.5264,-0.7072
0.027557,-0.071858,-0.007311,-7.0017,-7.5287,-0.70702
0.034926,-0.063026,-0.0024225,-6.8998,-7.5298,-0.70695
0.036988,-0.060491,0.00013149,-6.799,-7.5304,-0.70673
0.038184,-0.065751,0.0013161,-6.6991,-7.5291,-0.70058
0.03652,-0.060888,0.0079109,-6.6193,-7.57,-0.68601
-0.056293,-0.062545,-0.013615,-5.9272,-7.5599,-0.71101
-0.10438,-0.14027,-0.0057326,-5.8185,-7.5182,-0.70266
-0.094831,-0.15665,0.0056816,-5.7149,-7.5173,-0.70605
-0.10337,-0.12629,0.0063123,-5.6052,-7.5258,-0.70739
-0.09953,-0.12869,0.0030295,-5.5025,-7.5277,-0.70725
-0.098384,-0.13607,-0.00040867,-5.4008,-7.5286,-0.70725
-0.093109,-0.14756,-0.0041809,-5.2995,-7.529,-0.70731
-0.083084,-0.16021,-0.0076539,-5.1976,-7.5292,-0.70744
-0.06749,-0.17251,-0.010665,-5.0937,-7.5295,-0.70795
-0.042438,-0.18359,-0.01351,-4.9864,-7.5298,-0.7097
-0.027065,-0.18697,-0.010589,-4.8879,-7.5302,-0.69632
-0.01349,-0.099329,0.0062898,-3.4086,-7.5296,-0.69293
0.002834,-0.086265,-0.013543,-3.3087,-7.53,-0.70845
0.017758,-0.084121,-0.011435,-3.2017,-7.5299,-0.70742
0.020028,-0.081412,-0.0022223,-3.097,-7.5288,-0.70737
0.016279,-0.088629,0.022062,-3.0084,-7.5642,-0.68903
4.6632e-06,-5.603e-05,3.9266e-06,-1.7877,-7.5284,-0.69329
0.00016765,-0.00024442,1.955e-05,-1.7063,-7.5303,-0.70651
0.00052324,-0.00028519,7.1859e-05,-1.6048,-7.5304,-0.70718
