"U:0","U:1","U:2","Points:0","Points:1","Points:2"
0.054365,-0.021976,-0.00794,-5.3143,-7.3787,-0.90627
0.13158,0.010828,-0.0059591,-5.2402,-7.3867,-0.90987
0.19447,0.022661,-0.0039227,-5.1425,-7.3863,-0.90878
0.20587,0.016159,0.014986,-5.0448,-7.3866,-0.90989
0.15078,-0.0020357,0.037481,-4.9874,-7.3883,-0.90941
-0.056311,0.013896,-0.0011525,-1.5055,-7.383,-0.91007
-0.029601,0.019745,-0.036048,-1.4469,-7.383,-0.91057
-0.00086789,0.029023,-0.047393,-1.347,-7.3837,-0.90884
0.032744,0.036539,-0.050895,-1.2452,-7.3841,-0.9082
0.05655,0.044907,-0.048255,-1.1442,-7.3842,-0.90804
0.068692,0.050429,-0.042289,-1.0441,-7.3843,-0.90824
0.067178,0.052928,-0.034722,-0.94542,-7.3841,-0.90891
0.049379,0.054934,-0.024571,-0.85117,-7.3836,-0.91047
0.015986,0.040844,-0.0039119,-0.79002,-7.3725,-0.90498
0.057438,0.0035173,-0.055493,-5.3249,-7.3056,-0.9106
0.13721,0.036953,-0.049004,-5.242,-7.3052,-0.91827
0.18116,0.0446,-0.030893,-5.1428,-7.3048,-0.91634
0.18626,0.031971,0.0019363,-5.0436,-7.3051,-0.91825
0.14016,0.0087423,0.049734,-4.9607,-7.3051,-0.91059
-0.044259,0.046347,0.011123,-1.5279,-7.298,-0.90989
-0.038729,0.074252,-0.015027,-1.4463,-7.3002,-0.91807
-0.021811,0.098674,-0.021954,-1.3463,-7.3012,-0.91548
0.0064502,0.11039,-0.022955,-1.2448,-7.3018,-0.91474
0.02436,0.10701,-0.021861,-1.1441,-7.302,-0.9146
0.034598,0.097775,-0.018336,-1.0443,-7.3021,-0.91476
0.036284,0.088386,-0.014599,-0.94608,-7.3018,-0.91548
0.033479,0.08651,-0.010909,-0.85306,-7.3013,-0.91788
0.011086,0.097584,0.0085916,-0.78664,-7.2991,-0.9082
0.06013,0.060964,-0.056085,-5.3254,-7.2054,-0.9089
0.13854,0.076967,-0.047274,-5.2426,-7.2049,-0.91583
0.17668,0.077126,-0.030435,-5.1431,-7.2047,-0.91335
0.17859,0.072545,0.0024198,-5.0436,-7.2048,-0.91581
0.12657,0.0573,0.05138,-4.9606,-7.2051,-0.909
-0.047599,0.075,0.017118,-1.527,-7.1998,-0.90841
-0.051072,0.089629,-4.4404e-05,-1.4451,-7.201,-0.91536
-0.033354,0.091448,-0.0056422,-1.3455,-7.2019,-0.91189
-0.0050088,0.097617,-0.011093,-1.2445,-7.2025,-0.91084
0.0059889,0.10145,-0.010698,-1.144,-7.2027,-0.91065
0.014074,0.10061,-0.0077549,-1.0446,-7.2027,-0.91088
0.013177,0.10164,-0.0053043,-0.94684,-7.2026,-0.91189
0.02389,0.10677,-0.0048577,-0.85463,-7.2023,-0.9152
0.015853,0.10974,-0.0015473,-0.78626,-7.2375,-0.90861
0.062308,0.10197,-0.051158,-5.3257,-7.1034,-0.90825
0.13234,0.10224,-0.040741,-5.2431,-7.1031,-0.91511
0.17185,0.095686,-0.025143,-5.1435,-7.103,-0.91247
0.17458,0.096273,0.0050537,-5.044,-7.1032,-0.91503
0.1216,0.085446,0.050543,-4.9609,-7.1036,-0.90835
-0.063639,0.062681,0.025853,-1.5262,-7.0995,-0.90788
-0.054582,0.01193,0.019114,-1.4441,-7.1003,-0.9145
-0.030257,-0.017594,0.018548,-1.3448,-7.1012,-0.9107
-0.023773,0.045421,0.010291,-1.2442,-7.1016,-0.90952
-0.0044488,0.078093,-0.00098527,-1.144,-7.1019,-0.9093
-0.0044866,0.089945,-0.0016326,-1.0447,-7.1019,-0.90958
