"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,-0.0070405,0.0031462,0.0025255
4.547,-0.15977,0.059155,-0.0112,-0.0073913,0.0039387
4.458,-0.050149,0.065018,-0.0051873,0.0057105,0.004
4.4396,-0.16544,0.14391,-0.0033299,0.0028607,0.003483
4.6473,-0.1629,0.061376,-0.014764,-0.015546,0.0044098
4.5465,-0.059566,0.061387,-0.0070306,-0.0064841,0.0044726
4.5351,-0.19721,0.13978,-0.0062232,-0.0024088,0.0045599
4.4589,0.048824,0.066728,-0.0042993,0.0027717,0.0042042
4.4373,-0.060505,0.14646,-0.0032944,0.0065789,0.0060593
4.4388,-0.1676,0.24676,-0.00076233,0.0027326,0.0016774
4.7485,-0.16461,0.062711,-0.016797,-0.021923,0.0043657
4.6473,-0.062564,0.063843,-0.0099968,-0.015523,0.0037568
4.6435,-0.20031,0.14288,-0.0088382,-0.0104,0.0069593
4.548,0.045377,0.065122,-0.0073699,-0.015103,0.0038309
4.5314,-0.081154,0.14175,-0.0043598,-0.00038117,0.0074492
4.5335,-0.20072,0.24608,-0.0013717,0.0026924,0.003282
4.4594,0.14935,0.067264,-0.0028147,-0.0014259,0.0029373
4.4394,0.045748,0.14873,-0.0032807,0.0040298,0.0066471
4.4362,-0.063017,0.24687,-0.0016327,0.0087972,0.0088256
4.4387,-0.16825,0.3482,-0.00051684,0.0045295,0.0013738
4.8496,-0.16546,0.063376,-0.017956,-0.027699,0.0042962
4.7486,-0.064059,0.065046,-0.012313,-0.022039,0.0030633
4.7472,-0.20102,0.14489,-0.011496,-0.018208,0.011014
4.6479,0.043342,0.068184,-0.010116,-0.021984,0.0021177
4.6417,-0.08749,0.14528,-0.0054966,-0.0084865,0.0081839
4.6422,-0.20535,0.24738,-0.0019114,0.00030221,0.0037274
4.5488,0.148,0.066372,-0.0081287,-0.017798,0.0034563
4.534,0.03758,0.14685,-0.0032573,-0.0083995,0.0081763
4.5288,-0.087833,0.24569,-0.0020773,0.0058033,0.010048
4.5332,-0.20134,0.34835,-3.1355e-06,0.005613,0.0026341
4.4597,0.24987,0.067423,-0.0057532,-0.0082147,0.0041012
4.4403,0.14846,0.14958,-0.0020702,0.001257,0.0071338
4.4385,0.044193,0.24758,-0.0020489,0.0076414,0.011932
4.4363,-0.063898,0.34817,-0.0008703,0.010784,0.0083499
4.4387,-0.16855,0.44938,-0.00041487,0.005802,0.0010029
4.95,-0.16578,0.063646,-0.017286,-0.033351,0.0046876
4.8495,-0.064772,0.065506,-0.013497,-0.028249,0.0023851
4.849,-0.20132,0.14594,-0.01324,-0.024836,0.013439
4.7488,0.0422,0.069522,-0.012104,-0.028496,0.00029124
4.7465,-0.089709,0.14734,-0.0072451,-0.015294,0.0081311
4.7464,-0.20628,0.24842,-0.0051183,-0.0052821,0.0088565
4.6483,0.14689,0.06981,-0.011638,-0.024675,0.00089437
4.6421,0.03235,0.15156,-0.0041745,-0.012991,0.0076909
4.639,-0.098068,0.24726,-0.0020088,0.002998,0.010751
4.6417,-0.20634,0.34899,-0.00068995,0.0045838,0.0026798
4.5492,0.24927,0.066714,-0.010222,-0.02054,0.003075
4.5353,0.14514,0.14891,-0.0031845,-0.012259,0.0085394
4.531,0.032621,0.24745,-0.00026073,0.0024053,0.012724
4.5283,-0.089853,0.34812,-0.00075041,0.0092388,0.0092783
4.5331,-0.20155,0.44955,0.00070853,0.0071949,0.0018877
4.4599,0.35002,0.067467,-0.0081165,-0.011898,0.0045065
4.4406,0.24956,0.14989,-0.0034855,-0.0053554,0.0080474
4.4395,0.1477,0.24802,-0.00147,0.0057256,0.013533
4.4386,0.043415,0.34834,-0.00070845,0.010914,0.012548
4.4363,-0.06429,0.4493,-0.00056078,0.011375,0.0059052
4.4387,-0.16865,0.54992,-0.00019134,0.0064157,0.00069475
5.05,-0.16586,0.063726,-0.014199,-0.03834,0.0056548
4.9499,-0.065042,0.065669,-0.012864,-0.034457,0.0015929
4.9498,-0.20145,0.1464,-0.012947,-0.032014,0.013954
4.8495,0.041651,0.069974,-0.012427,-0.035027,-0.0012783
4.8486,-0.090646,0.14827,-0.0086532,-0.021973,0.0075729
4.8487,-0.20661,0.24905,-0.0060394,-0.0097879,0.01022
4.749,0.14618,0.071289,-0.013355,-0.031162,-0.0011412
4.7463,0.02958,0.15407,-0.0058412,-0.01763,0.0065992
4.7448,-0.10182,0.24862,-0.0027973,-0.00081468,0.011321
4.746,-0.20747,0.34955,-0.00093406,0.0031917,0.0029796
4.6485,0.2487,0.070292,-0.013878,-0.02714,-0.00012627
4.6425,0.142,0.15445,-0.0048276,-0.015046,0.0068911
4.6384,0.023286,0.24987,0.00047777,0.00038262,0.01168
4.6379,-0.1019,0.34886,-0.00082928,0.0087324,0.0095992
4.6414,-0.20667,0.44988,-5.8808e-05,0.0066827,0.0019103
4.5493,0.34975,0.066802,-0.012545,-0.022437,0.0025978
4.5357,0.24803,0.14959,-0.0045351,-0.014849,0.0088339
4.5323,0.14238,0.24861,0.0021275,-0.0025128,0.013368
4.5302,0.030098,0.34857,0.00045068,0.0088783,0.01273
4.5281,-0.090622,0.44936,0.00028332,0.01099,0.0067974
4.533,-0.20164,0.55002,0.0011609,0.0079151,0.0012416
4.46,0.45002,0.067475,-0.0099953,-0.013938,0.004711
4.4407,0.34989,0.15,-0.005311,-0.0089262,0.0092067
4.4398,0.24919,0.24825,-0.0017607,-0.00036071,0.015161
4.4397,0.14721,0.34851,-0.00021169,0.010625,0.014768
4.4387,0.043034,0.44929,-0.00016874,0.01244,0.010988
4.4363,-0.064448,0.54984,-0.00037104,0.01027,0.0032424
4.4387,-0.16868,0.65006,0.00018812,0.0066298,0.00043652
5.15,-0.16586,0.063739,-0.0085309,-0.041198,0.0061844
5.05,-0.065111,0.065721,-0.010049,-0.040522,0.00059855
5.05,-0.2015,0.14654,-0.0097964,-0.04002,0.011084
4.9498,0.041432,0.07012,-0.010577,-0.041221,-0.0024097
4.9495,-0.091055,0.14864,-0.0083232,-0.029679,0.0062901
4.9496,-0.20676,0.24936,-0.0052241,-0.014443,0.009402
4.8495,0.14581,0.07178,-0.012557,-0.037748,-0.0027599
4.8484,0.028276,0.1551,-0.0065253,-0.023771,0.0046279
4.8477,-0.10331,0.24941,-0.0034774,-0.0055232,0.0097791
4.8485,-0.20791,0.34992,-0.00081649,0.0020924,0.0027036
4.749,0.2483,0.071841,-0.015011,-0.033393,-0.0024428
4.7463,0.13989,0.15737,-0.0060525,-0.01869,0.0046301
4.7438,0.017847,0.2518,3.9197e-05,-0.0020527,0.0098278
4.7439,-0.10691,0.34963,-0.00089306,0.0081493,0.0095325
4.7458,-0.20792,0.45017,-9.1873e-05,0.0063792,0.0020893
4.6486,0.34947,0.070427,-0.016154,-0.028673,-0.0010523
4.6427,0.24626,0.15549,-0.0065751,-0.01702,0.0059659
4.6384,0.13641,0.2518,0.0023257,-0.0018188,0.010752
4.6365,0.017926,0.34971,0.0011765,0.0085053,0.011761
4.6375,-0.10336,0.44973,-1.191e-05,0.010811,0.006949
4.6413,-0.20682,0.55017,0.00022279,0.007441,0.001176
4.5494,0.4499,0.066825,-0.014655,-0.023698,0.0021575
4.5359,0.34914,0.14982,-0.0064415,-0.016625,0.0087936
4.5327,0.24652,0.24917,0.0017261,-0.0058866,0.013656
4.5313,0.14052,0.34906,0.0028692,0.007572,0.014255
4.5299,0.028944,0.44941,0.00069197,0.011902,0.010974
4.5281,-0.09096,0.54988,0.00077416,0.010662,0.0039985
4.533,-0.20168,0.65011,0.0014055,0.0082107,0.00072487
4.46,0.55,0.067472,-0.011458,-0.014537,0.0048217
4.4407,0.44995,0.15003,-0.0067969,-0.01084,0.010094
4.4399,0.3497,0.24836,-0.0034243,-0.004558,0.017037
4.44,0.24891,0.34861,0.00012841,0.0067572,0.016418
4.4397,0.14692,0.44933,0.00045148,0.01345,0.013829
4.4386,0.042862,0.54979,-0.0001347,0.012319,0.0080735
4.4363,-0.0645,0.65001,1.9146e-05,0.0089976,0.0016462
4.4387,-0.16867,0.75006,0.00035108,0.0067478,0.00021974
5.25,-0.16586,0.063726,-0.0022148,-0.039287,0.0051628
5.15,-0.06512,0.065732,-0.0047563,-0.043825,-0.000527
5.15,-0.20151,0.14657,-0.0045048,-0.048732,0.010469
5.05,0.041364,0.070167,-0.0052683,-0.046478,-0.0032755
5.0499,-0.091217,0.14878,-0.0052085,-0.039079,0.0043056
5.0499,-0.20683,0.24947,-0.0027746,-0.021754,0.0074525
4.9498,0.14564,0.071936,-0.0088797,-0.044191,-0.0037842
4.9493,0.027673,0.1555,-0.0051024,-0.032269,0.0017468
4.9491,-0.10398,0.24981,-0.0032045,-0.012058,0.0070207
4.9496,-0.20811,0.35011,-0.00046185,0.00099864,0.0024241
4.8495,0.24806,0.072363,-0.012611,-0.039743,-0.0038885
4.8482,0.13871,0.15856,-0.0056013,-0.025296,0.0010391
4.8469,0.015263,0.25287,-0.00099836,-0.0060562,0.0066199
4.8471,-0.10898,0.35016,-0.00092889,0.0068791,0.0081818
4.8484,-0.20844,0.45036,-5.4959e-05,0.0062689,0.0019483
4.7491,0.34925,0.072007,-0.016599,-0.034611,-0.0034735
4.7463,0.24487,0.15865,-0.0069009,-0.020418,0.0022252
4.7433,0.13197,0.2543,0.0012185,-0.0023568,0.0071273
4.7421,0.01002,0.3509,0.0012683,0.0082613,0.010181
4.7434,-0.10901,0.45015,6.6124e-05,0.010795,0.0068927
4.7458,-0.20813,0.5503,0.0001824,0.0073434,0.0012371
4.6487,0.44976,0.070468,-0.01811,-0.029464,-0.0018182
4.6428,0.34814,0.15586,-0.008367,-0.018279,0.0047141
4.6385,0.24298,0.25278,0.0012836,-0.0035055,0.0089888
4.636,0.13218,0.35067,0.0037563,0.0080944,0.01195
4.6357,0.015397,0.44995,0.0012038,0.011975,0.010126
4.6373,-0.10402,0.55007,0.00043075,0.010641,0.0040682
4.6413,-0.20689,0.65017,0.00031829,0.0077447,0.00066473
4.5494,0.54995,0.066831,-0.016341,-0.024193,0.0018297
4.5359,0.44956,0.14989,-0.0082717,-0.017866,0.0085137
4.5328,0.34828,0.24941,0.00038817,-0.0074846,0.013193
4.5317,0.24531,0.34938,0.0049578,0.0049231,0.014795
4.5309,0.13945,0.44958,0.0022661,0.012703,0.013058
4.5298,0.028391,0.54985,0.00077218,0.012544,0.0081379
4.528,-0.091114,0.65004,0.00097957,0.0099269,0.0021528
4.533,-0.20169,0.75008,0.0015318,0.0084049,0.00037445
4.46,0.64999,0.067469,-0.012499,-0.013907,0.0048642
4.4407,0.54996,0.15003,-0.0080066,-0.011432,0.010692
4.4399,0.44985,0.24839,-0.0045464,-0.006623,0.018035
4.44,0.34953,0.34867,-0.0011345,0.0014283,0.017516
4.44,0.24872,0.44936,0.0013091,0.012826,0.015722
4.4397,0.14677,0.54979,0.00042223,0.014467,0.01143
4.4386,0.042789,0.64997,-0.00010976,0.011097,0.0048961
4.4363,-0.064514,0.75003,0.00023054,0.0086817,0.00079613
4.4387,-0.16867,0.85003,0.00038104,0.0068667,5.706e-05
5.35,-0.16578,0.063646,0.0047355,-0.035086,0.0033464
5.25,-0.065112,0.065721,0.002322,-0.043155,0.00013395
5.25,-0.2015,0.14654,0.0026934,-0.058311,0.0096551
5.15,0.041351,0.070178,0.0014168,-0.048918,-0.0035729
5.15,-0.091259,0.14881,0.0013682,-0.048845,0.0013296
5.15,-0.20685,0.2495,0.001643,-0.033586,0.0043536
5.0499,0.14558,0.071988,-0.0014774,-0.049355,-0.004783
5.0497,0.027413,0.15566,6.7987e-05,-0.043497,-0.001942
5.0497,-0.10427,0.24997,-0.0008378,-0.022431,0.0031442
5.0499,-0.2082,0.35019,0.00062113,-0.0023648,0.0040919
4.9498,0.24794,0.072531,-0.0065783,-0.045989,-0.005129
4.9491,0.13809,0.15903,-0.0025721,-0.03539,-0.0027853
4.9485,0.014031,0.25339,-0.00070099,-0.013275,0.0023023
4.9487,-0.10994,0.35047,-0.00082865,0.0038814,0.0060524
4.9495,-0.20869,0.45047,-2.3535e-05,0.0058261,0.0017207
4.8495,0.3491,0.072545,-0.011994,-0.040845,-0.0050309
4.8481,0.24397,0.15996,-0.0049931,-0.028132,-0.0027797
4.8463,0.12934,0.25569,0.00015825,-0.0064112,0.0024535
4.8457,0.006018,0.35172,0.00096813,0.0067845,0.0074335
4.8468,-0.1115,0.45047,-8.4343e-07,0.010808,0.0061141
4.8483,-0.2087,0.55039,0.00010059,0.0073318,0.0011696
4.7491,0.44963,0.072061,-0.017844,-0.035062,-0.0042947
4.7463,0.34727,0.15913,-0.0075933,-0.02209,-0.00058699
4.7431,0.23993,0.25565,0.00040844,-0.0032066,0.0036482
4.741,0.12522,0.35235,0.0036196,0.0085367,0.0087131
4.7412,0.0059994,0.45062,0.0014284,0.01213,0.0087737
4.7432,-0.10999,0.55029,0.00041359,0.010579,0.0039261
4.7457,-0.20823,0.65022,0.00023408,0.0076267,0.00064378
4.6487,0.54987,0.070481,-0.019653,-0.029591,-0.0023738
4.6428,0.449,0.156,-0.0098033,-0.019193,0.0032667
4.6385,0.34619,0.25324,-0.00076029,-0.0040083,0.0063008
4.6358,0.24012,0.35133,0.0055387,0.0071375,0.010722
4.6348,0.12963,0.45036,0.0032341,0.013142,0.011103
4.6353,0.014173,0.55012,0.00116,0.01272,0.0075528
4.6372,-0.10433,0.65014,0.00056906,0.0099202,0.0021403
4.6413,-0.20692,0.7501,0.00033989,0.0079205,0.00032311
4.5494,0.64997,0.066832,-0.017608,-0.024071,0.0016242
4.5359,0.54975,0.14991,-0.0097934,-0.018297,0.0080677
4.5328,0.44906,0.24951,-0.001336,-0.0081986,0.012139
4.5317,0.34751,0.34956,0.0055204,0.0017895,0.01439
4.5312,0.24449,0.44974,0.0042815,0.012513,0.013999
4.5307,0.13886,0.5499,0.0016667,0.014511,0.010653
4.5297,0.028117,0.65001,0.00071869,0.011811,0.0051852
4.528,-0.091186,0.75006,0.0010514,0.0095516,0.0010264
4.533,-0.2017,0.85004,0.0015672,0.00855,9.2487e-05
4.46,0.75001,0.067464,-0.01318,-0.01238,0.0048066
4.4407,0.64997,0.15002,-0.008943,-0.010762,0.010953
4.4399,0.54989,0.2484,-0.0055317,-0.0073169,0.018459
4.44,0.44975,0.34869,-0.0023167,-0.0014232,0.018314
4.44,0.34941,0.44939,0.0011171,0.0093149,0.016805
4.4399,0.2486,0.5498,0.0013516,0.015628,0.013426
4.4396,0.1467,0.64996,0.00024405,0.013815,0.0081295
4.4386,0.042759,0.75001,-1.8901e-05,0.010141,0.0025137
4.4363,-0.064517,0.85002,0.00023892,0.0087722,0.00020595
4.4387,-0.16866,0.95001,0.0003381,0.0069089,-0.00010119
5.4504,-0.16546,0.063376,0.009075,-0.027031,0.0010968
5.3501,-0.065044,0.065669,0.0093372,-0.040427,0.00082389
5.3502,-0.20145,0.1464,0.01025,-0.064336,0.0077306
5.25,0.041362,0.070167,0.0096373,-0.04824,-0.0034906
5.2501,-0.09122,0.14878,0.0098275,-0.056094,-0.001048
5.25,-0.20683,0.24947,0.009503,-0.04971,0.00034681
5.15,0.14556,0.072,0.0064364,-0.050982,-0.0049708
5.15,0.027338,0.1557,0.0085883,-0.054192,-0.0053051
5.15,-0.10435,0.25002,0.0052396,-0.037923,-0.0016645
5.15,-0.20823,0.35021,0.0039055,-0.012815,0.0018907
5.0499,0.24788,0.072588,0.002326,-0.050378,-0.0061161
5.0496,0.13779,0.15921,0.0051599,-0.048246,-0.0070463
5.0493,0.013468,0.25362,0.0027131,-0.026302,-0.002857
5.0495,-0.11037,0.3506,0.0006992,-0.0037931,0.00335
5.0499,-0.2088,0.45051,0.0005303,0.004409,0.001721
4.9498,0.34901,0.072721,-0.0044074,-0.046707,-0.0064365
4.949,0.24344,0.16049,0.00037607,-0.040001,-0.0069882
4.948,0.12792,0.25636,0.0012877,-0.015706,-0.0028261
4.9478,0.0040846,0.35219,0.0010644,0.0022868,0.0037825
4.9485,-0.1127,0.45067,-0.00028327,0.009538,0.0049354
4.9495,-0.20898,0.55044,0.00011674,0.0070749,0.0010547
4.8495,0.44954,0.072606,-0.010752,-0.041161,-0.0061803
4.848,0.34663,0.16051,-0.0043712,-0.031056,-0.0054535
4.846,0.23782,0.25727,0.00019379,-0.0083366,-0.0020242
4.8446,0.12076,0.35354,0.0028654,0.0066752,0.0046237
4.845,0.00090746,0.45116,0.0012928,0.011726,0.0066765
4.8466,-0.11274,0.55047,0.0002915,0.010568,0.0034517
4.8483,-0.20883,0.65026,0.00011036,0.0075978,0.00057216
4.7491,0.54979,0.072079,-0.018517,-0.034937,-0.004864
4.7463,0.44844,0.15931,-0.007788,-0.023767,-0.0033212
4.7429,0.34418,0.2563,-0.001135,-0.0041177,-0.00027851
4.7403,0.2352,0.35339,0.0045739,0.0084548,0.006111
4.7395,0.12078,0.45135,0.0033892,0.013557,0.0085099
4.7407,0.0040147,0.55049,0.0013371,0.012778,0.0065332
4.7431,-0.11048,0.65025,0.00044019,0.0098087,0.0019638
4.7457,-0.20829,0.75013,0.00022545,0.0077796,0.00027942
4.6487,0.64992,0.070485,-0.020792,-0.029167,-0.0026637
4.6428,0.5494,0.15605,-0.010876,-0.01976,0.0017522
4.6385,0.44779,0.25343,-0.0026145,-0.0043423,0.0033953
