"Points:0","Points:1","Points:2","U:0","U:1","U:2"
4.4593,-0.14188,0.062564,0.00046473,0.042071,-0.00232
4.547,-0.15977,0.059155,-3.601e-05,0.042378,-0.003572
4.458,-0.050149,0.065018,0.00013783,0.028752,-0.0023792
4.4396,-0.16544,0.14391,0.00055414,0.048605,-0.0028869
4.6473,-0.1629,0.061376,-0.00028711,0.042089,-0.0032956
4.5465,-0.059566,0.061387,-0.00093303,0.032129,-0.0042587
4.5351,-0.19721,0.13978,0.00010864,0.048935,-0.0039371
4.4589,0.048824,0.066728,6.8734e-05,0.026501,-0.0025411
4.4373,-0.060505,0.14646,0.00035845,0.044337,-0.0032058
4.4388,-0.1676,0.24676,0.00019627,0.049207,-0.0016464
4.7485,-0.16461,0.062711,-0.001556,0.038686,-0.0031192
4.6473,-0.062564,0.063843,-0.0018043,0.02965,-0.0043549
4.6435,-0.20031,0.14288,-8.4979e-05,0.048909,-0.0036454
4.548,0.045377,0.065122,-0.0013023,0.03103,-0.0029338
4.5314,-0.081154,0.14175,-0.00023304,0.045648,-0.0038069
4.5335,-0.20072,0.24608,0.00011284,0.049492,-0.0020659
4.4594,0.14935,0.067264,-0.00037646,0.029763,-0.0016621
4.4394,0.045748,0.14873,0.00023644,0.044022,-0.0012395
4.4362,-0.063017,0.24687,9.9009e-05,0.047724,-0.0013288
4.4387,-0.16825,0.3482,5.0782e-05,0.049637,-0.0004344
4.8496,-0.16546,0.063376,-0.0026326,0.036622,-0.0029454
4.7486,-0.064059,0.065046,-0.0031339,0.027239,-0.0041788
4.7472,-0.20102,0.14489,-0.00029429,0.04877,-0.0036139
4.6479,0.043342,0.068184,-0.0024325,0.028297,-0.002924
4.6417,-0.08749,0.14528,-0.00068963,0.045374,-0.0038896
4.6422,-0.20535,0.24738,-0.00027884,0.049554,-0.0019757
4.5488,0.148,0.066372,-0.0019096,0.035043,-0.0020245
4.534,0.03758,0.14685,-0.00067124,0.045218,-0.001748
4.5288,-0.087833,0.24569,-0.00017363,0.048433,-0.0021285
4.5332,-0.20134,0.34835,1.7364e-05,0.04988,-0.00073938
4.4597,0.24987,0.067423,-0.00083681,0.032874,-0.0010324
4.4403,0.14846,0.14958,4.2696e-05,0.045878,0.00057522
4.4385,0.044193,0.24758,-2.8783e-05,0.047235,-0.0004527
4.4363,-0.063898,0.34817,6.2848e-05,0.048903,-0.00084992
4.4387,-0.16855,0.44938,7.0852e-06,0.049743,-0.00022812
4.95,-0.16578,0.063646,-0.0036721,0.034825,-0.0028245
4.8495,-0.064772,0.065506,-0.0041026,0.02599,-0.004152
4.849,-0.20132,0.14594,-0.00047154,0.048685,-0.003518
