"U:0","U:1","U:2","Points:0","Points:1","Points:2"
-0.13838,0.15823,-0.0042714,0.25191,-0.24832,0.7516
-0.21619,0.12607,-0.050114,0.35124,-0.25591,0.7439
-0.10645,0.20517,0.031306,0.2443,-0.14921,0.74404
-0.098341,0.13222,-0.017782,0.24441,-0.25584,0.8507
-0.29743,0.11269,-0.07146,0.44848,-0.25716,0.7426
-0.17344,0.18084,-0.0035067,0.34055,-0.15982,0.73675
-0.18512,0.084095,-0.052118,0.34076,-0.26304,0.83994
-0.089489,0.28975,0.048604,0.24286,-0.051864,0.7427
-0.054726,0.18273,0.024273,0.23716,-0.15981,0.8401
-0.11188,0.11964,-0.040333,0.2429,-0.2573,0.9481
-0.36167,0.1119,-0.083889,0.54872,-0.25753,0.74227
-0.25742,0.17251,-0.023785,0.44424,-0.16232,0.73709
-0.2768,0.058141,-0.075101,0.44436,-0.26272,0.83728
-0.15386,0.26429,0.014139,0.33777,-0.056013,0.73712
-0.12039,0.14568,-0.0023939,0.3305,-0.16983,0.83002
-0.19705,0.064022,-0.055629,0.33786,-0.26287,0.94382
-0.036438,0.26587,0.045732,0.23729,-0.056185,0.83738
-0.083225,0.3586,0.054133,0.24245,0.048538,0.74233
-0.054582,0.18088,-7.5848e-05,0.2373,-0.16261,0.94383
-0.12116,0.11588,-0.030632,0.24246,-0.25768,1.0485
-0.41411,0.11469,-0.094341,0.64941,-0.25766,0.74217
-0.32273,0.17337,-0.031708,0.5471,-0.1632,0.73733
-0.34771,0.04873,-0.095924,0.54714,-0.2625,0.8364
-0.23425,0.25405,-0.0063037,0.44213,-0.057975,0.73829
-0.21068,0.12405,-0.017563,0.44017,-0.17045,0.82939
-0.29132,0.030645,-0.081197,0.4422,-0.26171,0.94167
-0.091754,0.22856,0.018646,0.32964,-0.060084,0.82941
-0.14358,0.33172,0.018843,0.33682,0.046964,0.73738
-0.11205,0.12938,-0.0051849,0.32965,-0.17058,0.93994
-0.21006,0.054263,-0.037234,0.33686,-0.26264,1.0468
-0.029595,0.25966,0.026368,0.2383,-0.058326,0.94166
-0.030546,0.33501,0.055595,0.23748,0.046785,0.83645
-0.079976,0.41145,0.055367,0.24232,0.14932,0.7422
-0.060738,0.17612,0.00039442,0.23749,-0.16356,1.0468
-0.12882,0.11044,-0.017119,0.24231,-0.25781,1.1493
-0.45691,0.11838,-0.10409,0.74978,-0.25771,0.74214
-0.37608,0.17792,-0.037138,0.64878,-0.16351,0.73739
-0.40402,0.044807,-0.1153,0.64879,-0.26246,0.83611
-0.29552,0.25198,-0.013366,0.54598,-0.058842,0.73885
-0.28319,0.11333,-0.031518,0.5454,-0.17059,0.82928
-0.36135,0.0156,-0.10568,0.54601,-0.26116,0.94073
-0.17352,0.19849,0.0042241,0.43835,-0.061788,0.82987
-0.21772,0.3194,-0.00080691,0.44121,0.045913,0.73887
-0.20092,0.095221,-0.020548,0.43834,-0.17016,0.93818
