"Points:0","Points:1","Points:2","U:0","U:1","U:2"
-4.9499,4.1437,0.050044,0.024932,-0.01925,-0.042859
-4.8498,4.1429,0.050082,0.043512,-0.022633,-0.038933
-4.9498,4.2405,0.050073,0.019923,0.0019873,-0.084784
-4.9499,4.143,0.15015,0.0229,0.016786,-0.004069
-4.7495,4.1425,0.050101,0.079596,-0.025708,-0.033655
-4.8493,4.2392,0.050106,0.041504,-0.0038285,-0.070779
-4.8496,4.1423,0.1503,0.047161,0.017075,0.0021944
-4.9496,4.3494,0.050073,0.019589,0.034531,-0.061106
-4.9497,4.2396,0.15025,0.021694,0.00029522,-0.096879
-4.9499,4.1428,0.25035,0.021727,0.030025,-0.07548
-4.649,4.1427,0.050117,0.1074,-0.028281,-0.029113
-4.7485,4.2382,0.050132,0.076381,-0.0093449,-0.061557
-4.7491,4.1419,0.15038,0.082796,0.011703,0.011656
-4.8488,4.3486,0.050097,0.038195,0.034538,-0.058172
-4.8491,4.2384,0.15037,0.040138,0.00070713,-0.08811
-4.8495,4.142,0.25071,0.037992,0.028109,-0.065637
-4.9496,4.4586,0.050046,0.019376,0.054512,-0.034348
-4.9495,4.3496,0.15025,0.016639,0.03091,-0.083509
-4.9497,4.2395,0.25057,0.017954,-0.0025258,-0.13
-4.9498,4.1431,0.35069,0.020085,0.034502,-0.11142
-4.5486,4.144,0.050144,0.13422,-0.030892,-0.025582
-4.6472,4.2379,0.050149,0.10183,-0.013645,-0.055352
-4.6481,4.142,0.15043,0.10843,0.0043354,0.018957
-4.7474,4.3469,0.050122,0.070371,0.032395,-0.053371
-4.7481,4.2374,0.15046,0.067696,-0.00056709,-0.082614
-4.7488,4.1416,0.25095,0.067951,0.025315,-0.050953
-4.8487,4.4586,0.050065,0.037773,0.054143,-0.035582
-4.8484,4.3488,0.15032,0.034532,0.031996,-0.079166
-4.849,4.2382,0.25084,0.035341,0.0015316,-0.12443
-4.8494,4.1424,0.35151,0.036341,0.034776,-0.097205
-4.9498,4.556,0.050022,0.01735,0.04948,-0.016516
-4.9495,4.4598,0.15014,0.015369,0.034895,-0.031163
-4.9494,4.35,0.25052,0.011493,0.02546,-0.1171
-4.9497,4.2404,0.35119,0.015064,-0.010555,-0.15347
-4.9498,4.1447,0.45087,0.018759,0.041174,-0.14979
-4.4493,4.1479,0.050186,0.16157,-0.035751,-0.025405
-4.545,4.2394,0.05016,0.12502,-0.017197,-0.051113
-4.547,4.1433,0.15046,0.1342,-0.0016359,0.018222
-4.6449,4.3441,0.05014,0.094648,0.028759,-0.049742
-4.6465,4.237,0.15052,0.089406,-0.0020004,-0.078858
-4.6476,4.1418,0.25104,0.088701,0.022803,-0.039238
-4.7472,4.4563,0.050092,0.067918,0.051898,-0.033943
-4.7468,4.3471,0.1504,0.058839,0.029759,-0.077171
